"system","user","cores","threads","setthreads","size","actual_mult","actual_solve","maxDiff"
"104","Darwin","AW","2","4","3","1024","0.673999999999992","1.19999999999999","6.48157083560363e-11"
"105","Darwin","AW","2","4","3","1024","0.649999999999991","1.15600000000001","6.48157083560363e-11"
"106","Darwin","AW","2","4","3","1024","0.655000000000001","1.18300000000001","6.48157083560363e-11"
"107","Darwin","AW","2","4","3","1024","0.694000000000003","1.17700000000001","6.48157083560363e-11"
"108","Darwin","AW","2","4","3","1024","0.682000000000002","1.196","6.48157083560363e-11"
"109","Darwin","AW","2","4","4","128","0.000999999999990564","0.00399999999999068","1.85309545486234e-11"
"110","Darwin","AW","2","4","4","128","0.00100000000000477","0.00300000000000011","1.85309545486234e-11"
"111","Darwin","AW","2","4","4","128","0.00199999999999534","0.00300000000000011","1.85309545486234e-11"
"112","Darwin","AW","2","4","4","128","0.000999999999990564","0.00400000000000489","1.85309545486234e-11"
"113","Darwin","AW","2","4","4","128","0.00100000000000477","0.00400000000000489","1.85309545486234e-11"
"114","Darwin","AW","2","4","4","128","0.00100000000000477","0.00300000000000011","1.85309545486234e-11"
"115","Darwin","AW","2","4","4","128","0.00100000000000477","0.00300000000000011","1.85309545486234e-11"
"116","Darwin","AW","2","4","4","128","0.000999999999990564","0.00400000000000489","1.85309545486234e-11"
"117","Darwin","AW","2","4","4","128","0.000999999999990564","0.00300000000000011","1.85309545486234e-11"
"118","Darwin","AW","2","4","4","256","0.0150000000000006","0.0250000000000057","2.64321897702757e-12"
"119","Darwin","AW","2","4","4","256","0.0110000000000099","0.0220000000000056","2.64321897702757e-12"
"120","Darwin","AW","2","4","4","256","0.0109999999999957","0.0249999999999915","2.64321897702757e-12"
"121","Darwin","AW","2","4","4","256","0.00900000000000034","0.0209999999999866","2.64321897702757e-12"
"122","Darwin","AW","2","4","4","256","0.00999999999999091","0.0210000000000008","2.64321897702757e-12"
"123","Darwin","AW","2","4","4","256","0.0109999999999957","0.0219999999999914","2.64321897702757e-12"
"124","Darwin","AW","2","4","4","256","0.0120000000000005","0.0240000000000009","2.64321897702757e-12"
"125","Darwin","AW","2","4","4","256","0.0109999999999957","0.0229999999999961","2.64321897702757e-12"
"126","Darwin","AW","2","4","4","256","0.0100000000000051","0.0260000000000105","2.64321897702757e-12"
"127","Darwin","AW","2","4","4","512","0.0670000000000073","0.132999999999996","1.60444102448309e-10"
"128","Darwin","AW","2","4","4","512","0.0700000000000074","0.123999999999995","1.60444102448309e-10"
"129","Darwin","AW","2","4","4","512","0.0769999999999982","0.129000000000005","1.60444102448309e-10"
"130","Darwin","AW","2","4","4","512","0.0669999999999931","0.134999999999991","1.60444102448309e-10"
"131","Darwin","AW","2","4","4","512","0.0649999999999977","0.14800000000001","1.60444102448309e-10"
"132","Darwin","AW","2","4","4","512","0.0690000000000026","0.125999999999991","1.60444102448309e-10"
"133","Darwin","AW","2","4","4","512","0.0670000000000073","0.123999999999995","1.60444102448309e-10"
"134","Darwin","AW","2","4","4","512","0.0660000000000025","0.125","1.60444102448309e-10"
"135","Darwin","AW","2","4","4","512","0.061000000000007","0.132999999999996","1.60444102448309e-10"
"136","Darwin","AW","2","4","4","1024","0.669000000000011","1.256","6.48157083560363e-11"
"137","Darwin","AW","2","4","4","1024","0.665000000000006","1.283","6.48157083560363e-11"
